F,x,y,z
0.0,0.0,0.0,0.0
0.3448275862068966,-0.14402502567379927,0.08632277304344682,-0.05947327492076793
0.6896551724137931,-0.311998268042307,0.17557244009325168,-0.14727553433872387
1.0344827586206897,-0.493911335022035,0.2578695409624403,-0.26991853067606997
1.3793103448275863,-0.6712997604275801,0.32208022495341315,-0.4243449434907045
1.7241379310344829,-0.826948265287241,0.3623274117939419,-0.5972277439723221
2.0689655172413794,-0.9534272125330381,0.37999844062045596,-0.7730719530617776
2.413793103448276,-1.052110152633685,0.3802626970044114,-0.941168079034862
2.7586206896551726,-1.1281143847538644,0.36851690463185194,-1.0964569984976338
3.103448275862069,-1.18688858241261,0.34897578497131665,-1.2375782516938747
3.4482758620689657,-1.232959455704835,0.32457514723042036,-1.365012632153296
3.793103448275862,-1.269755943660829,0.2972671103483504,-1.4799745560287505
4.137931034482759,-1.2997826182024823,0.26832831385142764,-1.5838651436318774
4.482758620689655,-1.3248470012744695,0.23859081764940404,-1.6780339489792477
4.827586206896552,-1.3462525763849102,0.20859794403678578,-1.7636909457974665
5.172413793103448,-1.364943495110597,0.17870553948720835,-1.8418863854385403
5.517241379310345,-1.3816081035688712,0.14914701819105214,-1.9135188609819906
5.862068965517241,-1.3967517837519456,0.1200751519928116,-1.9793533140288089
6.206896551724138,-1.410748062211983,0.09158907151084827,-2.0400409503450607
6.551724137931034,-1.423874616871753,0.06375185242329562,-2.0961377967747055
6.8965517241379315,-1.436338836027973,0.036602073739129715,-2.148120798337713
7.241379310344827,-1.4482961279962845,0.010161486945628795,-2.196401299822266
7.586206896551724,-1.4598631662142978,-0.01555984461128801,-2.2413361348659118
7.931034482758621,-1.4711275646654745,-0.04056006526501965,-2.2832366666399695
8.275862068965518,-1.482155012359024,-0.06484314296380522,-2.3223761333191835
8.620689655172413,-1.4929945805841478,-0.08841721539592762,-2.3589956163400334
8.96551724137931,-1.5036827027596396,-0.11129342621228044,-2.3933089009788877
9.310344827586206,-1.5142461804242893,-0.13348509295809874,-2.4255064504407917
9.655172413793103,-1.524704468020263,-0.15500710165256637,-2.455758671666964
10.0,-1.5350714188740533,-0.17587545797885884,-2.484218614906011
