t, r_OP_x, r_OP_y, r_OP_z, ex_B_x, ex_B_y, ex_B_z, ey_B_x, ey_B_y, ey_B_z, ez_B_x, ez_B_y, ez_B_z, v_P_x, v_P_y, v_P_z, B_Omega_x, B_Omega_y, B_Omega_z
1.000000000000000056e-01, 2.104659999999999864e-02, 1.311859330847727212e-01, -1.424549634279473898e-01, 1.000000000000000000e+00, -2.056498370423256619e-57, -2.269648728514318937e-57, -3.057677457390527595e-57, -6.276702682326509297e-01, -7.784793088944315098e-01, 1.763504039291432040e-58, 7.784793088944315098e-01, -6.276702682326509297e-01, 1.548996685817115343e-22, -5.562987308428977151e-01, -4.868750197768186849e-01, -3.620328257626725055e+00, 1.536439512050241356e-57, 3.735567104229652501e-56
1.100000000000000006e-01, 2.104659999999999864e-02, 1.253192305046255117e-01, -1.474460914117806942e-01, 1.000000000000000000e+00, 4.260377293724367946e-26, -9.960570252253692634e-25, -7.224601236031648239e-25, -6.575127080454905570e-01, -7.534434542543227975e-01, -6.870196858697717784e-25, 7.534434542543227975e-01, -6.575127080454905570e-01, 2.299268267829919269e-23, -6.171863019926924210e-01, -5.103055501489995871e-01, -4.177775203647285274e+00, 2.363152251048788029e-24, 1.119190560702029376e-24
1.199999999999999956e-01, 2.104659999999999864e-02, 1.188413026694905700e-01, -1.526373839181514036e-01, 1.000000000000000000e+00, 1.225759502600748947e-25, -1.596442340390019194e-24, -1.070076372243530605e-24, -6.905263520836026903e-01, -7.233072356046995610e-01, -1.191045577355563192e-24, 7.233072356046995610e-01, -6.905263520836026903e-01, -1.039187599639332497e-22, -6.784027085818451486e-01, -5.265865552406464589e-01, -4.765650591219764642e+00, -9.082115425363430602e-24, -5.671874919243510629e-24
1.300000000000000044e-01, 2.104659999999999864e-02, 1.117504854556699845e-01, -1.579508560239130666e-01, 1.000000000000000000e+00, -1.312671053684431114e-24, -8.429459886347306826e-24, -6.747731982439310641e-24, -7.262848596090858422e-01, -6.873938483159496293e-01, -5.219867082971079169e-24, 6.873938483159496293e-01, -7.262848596090858422e-01, 2.551888773560151730e-23, -7.397814191968332675e-01, -5.347130015411025727e-01, -5.374702278772066855e+00, -1.851005578108713888e-23, 8.646936284004287736e-23
1.400000000000000133e-01, 2.104659999999999864e-02, 1.040457729896991229e-01, -1.633004939512260889e-01, 1.000000000000000000e+00, 2.100977308971077597e-24, 2.396248243602440523e-25, 1.760052922695874625e-24, -7.641631276112865745e-01, -6.450230340067990564e-01, -1.172066302975535499e-24, 6.450230340067990564e-01, -7.641631276112865745e-01, -8.421413391176077844e-23, -8.011445527680236545e-01, -5.335357298933307568e-01, -5.994024441730446462e+00, -2.224705508795666265e-24, 6.672427495984934095e-24
1.499999999999999944e-01, 2.104659999999999864e-02, 9.572845241650682069e-02, -1.685858424034692160e-01, 1.000000000000000000e+00, -1.037380150785237959e-24, -7.527482236567858766e-25, -1.281644394300665159e-24, -8.032635828933387678e-01, -5.956237204790928441e-01, 1.323298981071969815e-26, 5.956237204790928441e-01, -8.032635828933387678e-01, -3.767516617134355988e-22, -8.622205258957722496e-01, -5.217006472061440636e-01, -6.608068485634208677e+00, -7.870601718200925367e-24, 7.277781986617227881e-24
1.600000000000000033e-01, 2.104659999999999864e-02, 8.680376461621280848e-02, -1.736945098111091490e-01, 1.000000000000000000e+00, 8.833613983546807157e-25, 1.756525026738495952e-24, 1.690544947879541702e-24, -8.424574135297262512e-01, -5.387629408086673788e-01, 1.003875146051922003e-24, 5.387629408086673788e-01, -8.424574135297262512e-01, 1.245607480449967251e-22, -9.225661820771904331e-01, -4.978284546240802078e-01, -7.196834256856530665e+00, 9.121952239891559119e-24, 4.617294371192536073e-23
1.700000000000000122e-01, 2.104659999999999864e-02, 7.728235377911964188e-02, -1.784987035407792633e-01, 1.000000000000000000e+00, 9.661500778231906142e-24, 1.453273056669777613e-24, 9.194562234088699395e-24, -8.803122059020236367e-01, -4.743947935421645168e-01, -3.304031656701839386e-24, 4.743947935421645168e-01, -8.803122059020236367e-01, -6.506029836805201474e-22, -9.813703800326352145e-01, -4.607901808780788255e-01, -7.732460374055222907e+00, 2.999488893175347669e-24, 1.206849453960442247e-22
1.799999999999999933e-01, 2.104659999999999864e-02, 6.718531888932689766e-02, -1.828644199174212226e-01, 1.000000000000000000e+00, -3.150682954894617962e-24, 2.732817091061108008e-25, -2.773650835393062615e-24, -9.152737939518562627e-01, -4.028323250497345964e-01, 1.519324526925964714e-24, 4.028323250497345964e-01, -9.152737939518562627e-01, 3.321129128934423722e-22, -1.037424861973885282e+00, -4.101234316233544619e-01, -8.181746272014784438e+00, 5.878943544125218542e-27, -1.255023082078739782e-23
1.900000000000000022e-01, 2.104659999999999864e-02, 5.654875355533758169e-02, -1.866589636101648186e-01, 1.000000000000000000e+00, 1.424179926598342270e-24, -1.712341599961308195e-25, 1.291193855835526280e-24, -9.457025928839553064e-01, -3.250332380119981268e-01, -6.248424021525959657e-25, 3.250332380119981268e-01, -9.457025928839553064e-01, -5.278004199659237711e-22, -1.089002738996403874e+00, -3.468095334641913552e-01, -8.508389166021938621e+00, -2.306769957835346718e-23, -7.845881135155881933e-24
