u_y, load_factor
0.001207998020736678, 0.03928100220968034
0.015776631204875713, 0.5432287630436967
0.03472648838307668, 0.9715788087877968
0.05769601223544152, 1.481532264530518
0.07607163131733374, 1.8716005376724478
0.0936815996041469, 2.110807119728525
0.11179090536601155, 2.458193708617795
0.13601758474380032, 2.655014678351421
0.15033975843998038, 2.959276065932727
0.17024667911203029, 3.139860776910698
0.19168490137423744, 3.405950076160641
0.2238422347675484, 3.7221990514210663
0.25599956816085934, 4.005233185618483
0.2881569015541703, 4.26065359351924
0.3198038010840958, 4.416908445024303
0.35247156834079263, 4.686864916295493
0.3858938900042337, 4.912543601365955
0.414069409725522, 5.03386004906317
0.4489435685207255, 5.2632233491911125
0.48236589018416653, 5.456269827591662
0.5119932470372173, 5.58601370370452
0.5454155687006583, 5.7992792879160895
0.5775729020939693, 5.955901988839401
0.6097302354872802, 6.139720681764042
0.6418875688805916, 6.2956880575788885
0.674555336137288, 6.47957956440447
0.7062022356672135, 6.635146463764143
0.7383595690605245, 6.820603469459948
0.7705169024538354, 6.982059193058195
0.8026742358471464, 7.185998615477323
0.8332101910861729, 7.3024018763731
0.8685814562875325, 7.516441839315834
0.8991462360270792, 7.710534966756425
0.9313035694203902, 7.917055993795772
0.9634609028137011, 8.093900155208885
0.9956182362070125, 8.296067951170567
1.0277755696003235, 8.480541969203673
1.1840924913847952, 8.4755176766501
1.0599329029936344, 8.67091391321297
1.0920902363869454, 8.823277000931256
1.1564049031735673, 8.93647181101278
1.1242475697802563, 8.953031372407473
1.1973470720051513, 8.043329470391935
1.2017697127819882, 7.532786222648949
1.2051877966885898, 7.052924843109849
1.2031888069280403, 6.6227735823164355
1.20577406644025, 6.03761880094769
1.207703506443849, 5.633539376421248
1.207224974696925, 5.144110782877002
1.2061211614673528, 4.6957594652676695
1.2049841260337422, 4.161765428300576
1.2033916835452474, 3.759903458815586
1.20256270824832, 3.284319808602609
1.2009928024163932, 2.816801313221001
1.199421965317919, 2.337662337662339
1.2015783000832183, 1.8339070565898847
1.19364161849711, 1.4025974025974026
1.1931561413373513, 0.9776788146524815
1.1878612716763013, 0.49350649350649434
1.1898064191088813, 0.07859378427543362
1.1878612716763013, -0.12987012987012925
1.1907514450867058, -0.3116883116883109
1.350880205123591, -0.3638567596716751
1.385543304755343, -0.28262585183576405
1.415194871910213, -0.18988581587697695
1.447352205303524, -0.11109786533643806
1.4795095386968349, -0.026888588898589916
1.5116668720901458, 0.05371639944269546
1.5438242054834568, 0.1441512644109686
1.5759815388767677, 0.2604714711636369
1.6081388722700787, 0.3690990547680659
1.637550423501728, 0.4926170012249962
1.672453539056701, 0.8505917313370386
1.7025298728531313, 1.147889601975633
1.7208809518454369, 1.3372382047746623
1.736768205843323, 1.6968654699075287
1.7597377296956878, 2.0770937362157813
1.7758163963923432, 2.324417900276492
1.79112941229392, 2.620924426495451
1.8049111266053388, 2.877102713628787
1.8167787139290614, 3.141101692816399
1.8341972695171047, 3.3707668713483443
1.8470219203346745, 3.668876935303821
1.864631888621488, 4.064026009787879
1.8768823013427496, 4.288616286437301
1.889132714064011, 4.585760167061199
1.9021487775803512, 4.94895855273132
1.9145233498900027, 5.244763662880398
1.9359467912488308, 5.533614825654354
1.9520254579454863, 6.053356393911817
1.9739884393063591, 6.597402597402598
1.9917299206045747, 7.071131754904194
2.001337603162177, 7.457159718320062
2.0232173095521913, 7.973223690550697
2.0480400563517365, 8.591773668142967
2.058035279458401, 9.067798980626074
2.072123254087852, 9.505672077339005
2.1333753176941586, 11.841901048057004
1.3187228717302801, -0.4636627736910075
1.2865655383369687, -0.5747403795759514
1.2544082049436578, -0.672617865418939
1.2205281572614197, -0.6882344967983602
1.2052023121387285, -0.6493506493506498
1.19364161849711, -0.49350649350649256
