t,Timoshenko_director_integral,Euler_Bernoulli_director_integral,Inextensible_Euler_Bernoulli_director_integral
0.0,0.0,0.0,0.0
0.010101010101010102,4.83458661238967e-06,4.83458661238967e-06,4.83458661238967e-06
0.020202020202020204,0.00027262810472958863,0.00027262810472958863,0.00027262810472958863
0.030303030303030304,0.0027258019536189606,0.0027258019536189606,0.0027258019536189606
0.04040404040404041,0.013389235642922721,0.013389235642922721,0.013389235642922721
0.05050505050505051,0.0444630823196472,0.0444630823196472,0.0444630823196472
0.06060606060606061,0.11505892076764465,0.11505892076764465,0.11505892076764465
0.07070707070707072,0.2502486346570677,0.2502486346570677,0.2502486346570677
0.08080808080808081,0.47853334737090814,0.47853334737090814,0.47853334737090814
0.09090909090909091,0.8281477722316919,0.8281477722316919,0.8281477722316919
0.10101010101010102,1.322792513028644,1.322792513028644,1.322792513028644
0.11111111111111112,1.9774522414669509,1.9774522414669509,1.9774522414669509
0.12121212121212122,2.794930392477864,2.794930392477864,2.794930392477864
0.13131313131313133,3.763630081526023,3.763630081526023,3.763630081526023
0.14141414141414144,4.856955253715654,4.856955253715654,4.856955253715654
0.15151515151515152,6.034514396452742,6.034514396452742,6.034514396452742
0.16161616161616163,7.245100365016859,7.245100365016859,7.245100365016859
0.17171717171717174,8.431213220509619,8.431213220509619,8.431213220509619
0.18181818181818182,9.534708108226756,9.534708108226756,9.534708108226756
0.19191919191919193,10.503006723990062,10.503006723990062,10.503006723990062
0.20202020202020204,11.295227774917624,11.295227774917624,11.295227774917624
0.21212121212121213,11.887587069047292,11.887587069047292,11.887587069047292
0.22222222222222224,12.27750937987468,12.27750937987468,12.27750937987468
0.23232323232323235,12.486101021181153,12.486101021181153,12.486101021181153
0.24242424242424243,12.558974542083934,12.558974542083934,12.558974542083934
0.25252525252525254,12.565652328705717,12.565652328705717,12.565652328705717
0.26262626262626265,12.565652328705712,12.565652328705712,12.565652328705712
0.27272727272727276,12.565652329074581,12.565652329074581,12.565652329074581
0.2828282828282829,12.565652328705854,12.565652328705854,12.565652328705854
0.29292929292929293,12.56565232894026,12.56565232894026,12.56565232894026
0.30303030303030304,12.565652328705728,12.565652328705728,12.565652328705728
0.31313131313131315,12.565652328712797,12.565652328712797,12.565652328712797
0.32323232323232326,12.565652328705708,12.565652328705708,12.565652328705708
0.33333333333333337,12.565652328705712,12.565652328705712,12.565652328705712
0.3434343434343435,12.56565232870634,12.56565232870634,12.56565232870634
0.3535353535353536,12.565652328720315,12.565652328720315,12.565652328720315
0.36363636363636365,12.565652328810085,12.565652328810085,12.565652328810085
0.37373737373737376,12.565652328985335,12.565652328985335,12.565652328985335
0.38383838383838387,12.565652329016984,12.565652329016984,12.565652329016984
0.393939393939394,12.565652328851264,12.565652328851264,12.565652328851264
0.4040404040404041,12.565652328732138,12.565652328732138,12.565652328732138
0.4141414141414142,12.565652328707259,12.565652328707259,12.565652328707259
0.42424242424242425,12.56565232870573,12.56565232870573,12.56565232870573
0.43434343434343436,12.56565232870573,12.56565232870573,12.56565232870573
0.4444444444444445,12.565652328733812,12.565652328733812,12.565652328733812
0.4545454545454546,12.56565232870577,12.56565232870577,12.56565232870577
0.4646464646464647,12.565652328705715,12.565652328705715,12.565652328705715
0.4747474747474748,12.565652328706994,12.565652328706994,12.565652328706994
0.48484848484848486,12.565652328705701,12.565652328705701,12.565652328705701
0.494949494949495,12.565652328705843,12.565652328705843,12.565652328705843
0.5050505050505051,12.565652328671668,12.565652328671668,12.565652328671668
0.5151515151515152,12.565652328706275,12.565652328706275,12.565652328706275
0.5252525252525253,12.565652328705713,12.565652328705713,12.565652328705713
0.5353535353535354,12.565652328714442,12.565652328714442,12.565652328714442
0.5454545454545455,12.56565232870573,12.56565232870573,12.56565232870573
0.5555555555555556,12.565652328706621,12.565652328706621,12.565652328706621
0.5656565656565657,12.565652329014522,12.565652329014522,12.565652329014522
0.5757575757575758,12.565652328705713,12.565652328705713,12.565652328705713
0.5858585858585859,12.565652328706317,12.565652328706317,12.565652328706317
0.595959595959596,12.565652328733867,12.565652328733867,12.565652328733867
0.6060606060606061,12.565652329085738,12.565652329085738,12.565652329085738
0.6161616161616162,12.56565233053147,12.56565233053147,12.56565233053147
0.6262626262626263,12.56565232870571,12.56565232870571,12.56565232870571
0.6363636363636365,12.565652328705713,12.565652328705713,12.565652328705713
0.6464646464646465,12.565652330050966,12.565652330050966,12.565652330050966
0.6565656565656566,12.565652328925758,12.565652328925758,12.565652328925758
0.6666666666666667,12.565652328717878,12.565652328717878,12.565652328717878
0.6767676767676768,12.565652328705891,12.565652328705891,12.565652328705891
0.686868686868687,12.56565232870572,12.56565232870572,12.56565232870572
0.696969696969697,12.565652328793409,12.565652328793409,12.565652328793409
0.7070707070707072,12.565652328705863,12.565652328705863,12.565652328705863
0.7171717171717172,12.565652328705688,12.565652328705688,12.565652328705688
0.7272727272727273,12.56565232870685,12.56565232870685,12.56565232870685
0.7373737373737375,12.56565233011843,12.56565233011843,12.56565233011843
0.7474747474747475,12.565652328705728,12.565652328705728,12.565652328705728
0.7575757575757577,12.565652328852611,12.565652328852611,12.565652328852611
0.7676767676767677,12.565652328746607,12.565652328746607,12.565652328746607
0.7777777777777778,12.565652328705758,12.565652328705758,12.565652328705758
0.787878787878788,12.56565232886375,12.56565232886375,12.56565232886375
0.797979797979798,12.56565232870572,12.56565232870572,12.56565232870572
0.8080808080808082,12.565652328712279,12.565652328712279,12.565652328712279
0.8181818181818182,12.565652329572023,12.565652329572023,12.565652329572023
