frame, lambda, x, y
4.600000000000000000e+01,2.661283308419117727e-02,6.200670346811411049e-01,8.631022306056763682e-01
4.700000000000000000e+01,2.716906679771263419e-02,6.337110377152977980e-01,8.817665864018522370e-01
4.800000000000000000e+01,2.772438891901032876e-02,6.473617194128991059e-01,9.004268294556680985e-01
4.900000000000000000e+01,2.827880171402991083e-02,6.610190608452094496e-01,9.190829655335761572e-01
5.000000000000000000e+01,2.883230744204548848e-02,6.746830431299570829e-01,9.377350004180726728e-01
5.100000000000000000e+01,2.938490835565947534e-02,6.883536474312604847e-01,9.563829399075558513e-01
5.200000000000000000e+01,2.993660670085626641e-02,7.020308549596679937e-01,9.750267898159279412e-01
5.300000000000000000e+01,3.048740471699020946e-02,7.157146469718748127e-01,9.936665559726947095e-01
5.400000000000000000e+01,3.103730463681867238e-02,7.294050047709070839e-01,1.012302244222397007e+00
5.500000000000000000e+01,3.158630868653250490e-02,7.431019097055231448e-01,1.030933860425108151e+00
5.600000000000000000e+01,3.213441908575592060e-02,7.568053431706243117e-01,1.049561410455666532e+00
5.700000000000000000e+01,3.268163804758857094e-02,7.705152866068070150e-01,1.068184900203888787e+00
5.800000000000000000e+01,3.322796777859806511e-02,7.842317215007592601e-01,1.086804335573745561e+00
5.900000000000000000e+01,3.377341047886492365e-02,7.979546293844402838e-01,1.105419722484271006e+00
6.000000000000000000e+01,3.431796834199964119e-02,8.116839918352753980e-01,1.124031066868894868e+00
6.100000000000000000e+01,3.486164355514686369e-02,8.254197904764181137e-01,1.142638374674874058e+00
6.200000000000000000e+01,3.540443829902439193e-02,8.391620069761588363e-01,1.161241651863690549e+00
6.300000000000000000e+01,3.594635474792638036e-02,8.529106230480452133e-01,1.179840904410738744e+00
6.400000000000000000e+01,3.648739506975376412e-02,8.666656204508229600e-01,1.198436138305083887e+00
6.500000000000000000e+01,3.702756142603093326e-02,8.804269809881125619e-01,1.217027359549433640e+00
6.600000000000000000e+01,3.756685597192828407e-02,8.941946865085981244e-01,1.235614574159882295e+00
6.700000000000000000e+01,3.810528085627436917e-02,9.079687189056074859e-01,1.254197788166010241e+00
6.800000000000000000e+01,3.864283822158589426e-02,9.217490601172922959e-01,1.272777007610272904e+00
6.900000000000000000e+01,3.917953020407893838e-02,9.355356921264641468e-01,1.291352238548185483e+00
7.000000000000000000e+01,3.971535893369276121e-02,9.493285969602149876e-01,1.309923487048365587e+00
7.100000000000000000e+01,4.025032653410456907e-02,9.631277566903142517e-01,1.328490759191737425e+00
7.200000000000000000e+01,4.078443512275893579e-02,9.769331534326234356e-01,1.347054061072114450e+00
7.300000000000000000e+01,4.131768681087546330e-02,9.907447693473497852e-01,1.365613398795446187e+00
7.400000000000000000e+01,4.185008370347408774e-02,1.004562586638652055e+00,1.384168778480201922e+00
7.500000000000000000e+01,4.238162789939246139e-02,1.018386587554791278e+00,1.402720206256887536e+00
7.600000000000000000e+01,4.291232149131652546e-02,1.032216754387849988e+00,1.421267688267931817e+00
7.700000000000000000e+01,4.344216656577350177e-02,1.046053069473741992e+00,1.439811230667672248e+00
7.800000000000000000e+01,4.397116520317658622e-02,1.059895515192100346e+00,1.458350839622070794e+00
7.900000000000000000e+01,4.449931947783575259e-02,1.073744073965962942e+00,1.476886521308927058e+00
8.000000000000000000e+01,4.502663145797142913e-02,1.087598728262067604e+00,1.495418281917082481e+00
8.100000000000000000e+01,4.555310320573903449e-02,1.101459460590388462e+00,1.513946127646960349e+00
8.200000000000000000e+01,4.607873677724872580e-02,1.115326253504246745e+00,1.532470064710011570e+00
8.300000000000000000e+01,4.660353422257951933e-02,1.129199089600035455e+00,1.550990099328828364e+00
8.400000000000000000e+01,4.712749758579894838e-02,1.143077951517402324e+00,1.569506237736604248e+00
8.500000000000000000e+01,4.765062890498793224e-02,1.156962821938717800e+00,1.588018486177702471e+00
8.600000000000000000e+01,4.817293021225273891e-02,1.170853683589464955e+00,1.606526850906718096e+00
8.700000000000000000e+01,4.869440353375415614e-02,1.184750519237596000e+00,1.625031338189117491e+00
8.800000000000000000e+01,4.921505088970037911e-02,1.198653311694063639e+00,1.643531954300328835e+00
8.900000000000000000e+01,4.973487429440080071e-02,1.212562043812078105e+00,1.662028705526324757e+00
9.000000000000000000e+01,5.025387575626225067e-02,1.226476698487445560e+00,1.680521598163039698e+00
9.100000000000000000e+01,5.077205727780461503e-02,1.240397258658445301e+00,1.699010638516227800e+00
9.200000000000000000e+01,5.128942085569126313e-02,1.254323707305321056e+00,1.717495832901818176e+00
9.300000000000000000e+01,5.180596848075631755e-02,1.268256027450635592e+00,1.735977187645303843e+00
9.400000000000000000e+01,5.232170213798999214e-02,1.282194202159055996e+00,1.754454709081556985e+00
9.500000000000000000e+01,5.283662380659009949e-02,1.296138214536947109e+00,1.772928403555368959e+00
9.600000000000000000e+01,5.335073545996172478e-02,1.310088047732841821e+00,1.791398277420384488e+00
9.700000000000000000e+01,5.386403906573603712e-02,1.324043684936841547e+00,1.809864337039698512e+00
9.800000000000000000e+01,5.437653658581008409e-02,1.338005109380562496e+00,1.828326588785600393e+00
9.900000000000000000e+01,5.488822997632801515e-02,1.351972304337403452e+00,1.846785039039161802e+00
1.000000000000000000e+02,5.539912118772839789e-02,1.365945253122057945e+00,1.865239694190321984e+00
1.010000000000000000e+02,5.590921216475677052e-02,1.379923939090569540e+00,1.883690560637859335e+00
1.020000000000000000e+02,5.641850484647019381e-02,1.393908345640239910e+00,1.902137644789007709e+00
1.030000000000000000e+02,5.692700116627034956e-02,1.407898456209426552e+00,1.920580953059698004e+00
