frame, lambda, x, y
6.100000000000000000e+01,3.450294098333100273e-02,8.069305088336752307e-01,1.186782649048481630e+00
6.200000000000000000e+01,3.504134831772779540e-02,8.203762566006549406e-01,1.206075283887329874e+00
6.300000000000000000e+01,3.557891989992285897e-02,8.338286348012661220e-01,1.225362830169459016e+00
6.400000000000000000e+01,3.611565765319195431e-02,8.472876258709413078e-01,1.244645295838409993e+00
6.500000000000000000e+01,3.665156349578098383e-02,8.607532122830321430e-01,1.263922688845212861e+00
6.600000000000000000e+01,3.718663934090521428e-02,8.742253765484256922e-01,1.283195017149012074e+00
6.700000000000000000e+01,3.772088709675103929e-02,8.877041012159168076e-01,1.302462288716057515e+00
6.800000000000000000e+01,3.825430866650193079e-02,9.011893688718268791e-01,1.321724511520216083e+00
6.900000000000000000e+01,3.878690594835369765e-02,9.146811621400429138e-01,1.340981693542659059e+00
7.000000000000000000e+01,3.931868083551549181e-02,9.281794636820082101e-01,1.360233842771791046e+00
7.100000000000000000e+01,3.984963521622653798e-02,9.416842561966247693e-01,1.379480967202908914e+00
7.200000000000000000e+01,4.037977097376865138e-02,9.551955224202790529e-01,1.398723074838329694e+00
7.300000000000000000e+01,4.090908998649275125e-02,9.687132451264688360e-01,1.417960173687504266e+00
7.400000000000000000e+01,4.143759412779950135e-02,9.822374071262744977e-01,1.437192271766164708e+00
7.500000000000000000e+01,4.196528526619103944e-02,9.957679912677839251e-01,1.456419377097020629e+00
7.600000000000000000e+01,4.249216526524714210e-02,1.009304980436350307e+00,1.475641497709204941e+00
7.700000000000000000e+01,4.301823598366305568e-02,1.022848357554453580e+00,1.494858641638117547e+00
7.800000000000000000e+01,4.354349927524939906e-02,1.036398105581618934e+00,1.514070816925595864e+00
7.900000000000000000e+01,4.406795698895276531e-02,1.049954207514323112e+00,1.533278031619630610e+00
8.000000000000000000e+01,4.459161096885715103e-02,1.063516646386032827e+00,1.552480293774308961e+00
8.100000000000000000e+01,4.511446305420651476e-02,1.077085405267081519e+00,1.571677611449601386e+00
8.200000000000000000e+01,4.563651507941161867e-02,1.090660467264675137e+00,1.590869992711361647e+00
8.300000000000000000e+01,4.615776887406679296e-02,1.104241815522731152e+00,1.610057445631142059e+00
8.400000000000000000e+01,4.667822626295584088e-02,1.117829433221866786e+00,1.629239978286236123e+00
8.500000000000000000e+01,4.719788906607139123e-02,1.131423303579278228e+00,1.648417598759579050e+00
8.600000000000000000e+01,4.771675909862259368e-02,1.145023409848852758e+00,1.667590315139264590e+00
8.700000000000000000e+01,4.823483817105352761e-02,1.158629735320900300e+00,1.686758135518985569e+00
8.800000000000000000e+01,4.875212808904228617e-02,1.172242263322322620e+00,1.705921067997394402e+00
8.900000000000000000e+01,4.926863065352252852e-02,1.185860977216392609e+00,1.725079120678316258e+00
9.000000000000000000e+01,4.978434766070831408e-02,1.199485860402443649e+00,1.744232301671004848e+00
9.100000000000000000e+01,5.029928090207829577e-02,1.213116896316495330e+00,1.763380619089019774e+00
9.200000000000000000e+01,5.081343216440335070e-02,1.226754068430568889e+00,1.782524081051079179e+00
9.300000000000000000e+01,5.132680322976583553e-02,1.240397360252843750e+00,1.801662695680590787e+00
9.400000000000000000e+01,5.183939587556440215e-02,1.254046755327634433e+00,1.820796471105481373e+00
9.500000000000000000e+01,5.235121187451512170e-02,1.267702237235280860e+00,1.839925415458253610e+00
9.600000000000000000e+01,5.286225299468621380e-02,1.281363789592000924e+00,1.859049536875915010e+00
9.700000000000000000e+01,5.337252099948654183e-02,1.295031396050066119e+00,1.878168843499608442e+00
9.800000000000000000e+01,5.388201764770055718e-02,1.308705040297562849e+00,1.897283343474668982e+00
9.900000000000000000e+01,5.439074469348465640e-02,1.322384706058141290e+00,1.916393044950936542e+00
1.000000000000000000e+02,5.489870388637589638e-02,1.336070377091632899e+00,1.935497956081604798e+00
1.010000000000000000e+02,5.540589697132999869e-02,1.349762037192898001e+00,1.954598085024656484e+00
1.020000000000000000e+02,5.591232568869120012e-02,1.363459670193038820e+00,1.973693439941001770e+00
1.030000000000000000e+02,5.641799177425813744e-02,1.377163259958083197e+00,1.992784028996126722e+00
1.040000000000000000e+02,5.692289695923512943e-02,1.390872790390055291e+00,2.011869860358444839e+00
1.050000000000000000e+02,5.742704297029550126e-02,1.404588245426047433e+00,2.030950942200348663e+00
1.060000000000000000e+02,5.793043152956198205e-02,1.418309609038622465e+00,2.050027282697527653e+00
1.070000000000000000e+02,5.843306435463965082e-02,1.432036865235578604e+00,2.069098890029124505e+00
1.080000000000000000e+02,5.893494315861536048e-02,1.445769998059864170e+00,2.088165772377550411e+00
1.090000000000000000e+02,5.943606965005970855e-02,1.459508991589767213e+00,2.107227937928215056e+00
1.100000000000000000e+02,5.993644553306930189e-02,1.473253829938415249e+00,2.126285394869896095e+00
1.110000000000000000e+02,6.043607250724483682e-02,1.487004497254198254e+00,2.145338151394071247e+00
1.120000000000000000e+02,6.093495226773325973e-02,1.500760977720295930e+00,2.164386215695373039e+00
1.130000000000000000e+02,6.143308650521087794e-02,1.514523255554844017e+00,2.183429595971063009e+00
1.140000000000000000e+02,6.193047690592546478e-02,1.528291315010745111e+00,2.202468300421344338e+00
1.150000000000000000e+02,6.242712515167411075e-02,1.542065140375695975e+00,2.221502337248921322e+00
1.160000000000000000e+02,6.292303291984524538e-02,1.555844715972140246e+00,2.240531714659056206e+00
1.170000000000000000e+02,6.341820188340763220e-02,1.569630026157183389e+00,2.259556440859370241e+00
1.180000000000000000e+02,6.391263371094975387e-02,1.583421055322234317e+00,2.278576524060298425e+00
1.190000000000000000e+02,6.440633006664998883e-02,1.597217787893648211e+00,2.297591972473881583e+00
1.200000000000000000e+02,6.489929261033089425e-02,1.611020208331840786e+00,2.316602794314960079e+00
1.210000000000000000e+02,6.539152299744856178e-02,1.624828301131691299e+00,2.335608997800335374e+00
1.220000000000000000e+02,6.588302287909489352e-02,1.638642050822576746e+00,2.354610591148585286e+00
1.230000000000000000e+02,6.637379390204163621e-02,1.652461441967840727e+00,2.373607582580646636e+00
1.240000000000000000e+02,6.686383770872025845e-02,1.666286459165152278e+00,2.392599980319118913e+00
1.250000000000000000e+02,6.735315593724543193e-02,1.680117087046332669e+00,2.411587792588278489e+00
1.260000000000000000e+02,6.784175022143741629e-02,1.693953310277163116e+00,2.430571027614334412e+00
1.270000000000000000e+02,6.832962219080736255e-02,1.707795113557408317e+00,2.449549693624987867e+00
1.280000000000000000e+02,6.881677347059703131e-02,1.721642481620742071e+00,2.468523798849602713e+00
1.290000000000000000e+02,6.930320568176735752e-02,1.735495399234840752e+00,2.487493351518736517e+00
1.300000000000000000e+02,6.978892044103249259e-02,1.749353851200912358e+00,2.506458359864652152e+00
1.310000000000000000e+02,7.027391936084929902e-02,1.763217822354035347e+00,2.525418832120806201e+00
1.320000000000000000e+02,7.075820404944241360e-02,1.777087297562909729e+00,2.544374776521820536e+00
1.330000000000000000e+02,7.124177611080648176e-02,1.790962261729906579e+00,2.563326201303326002e+00
1.340000000000000000e+02,7.172463714473240048e-02,1.804842699790677907e+00,2.582273114702459793e+00
1.350000000000000000e+02,7.220678874679807568e-02,1.818728596714649148e+00,2.601215524956813852e+00
1.360000000000000000e+02,7.268823250839606676e-02,1.832619937504354368e+00,2.620153440305301729e+00
1.370000000000000000e+02,7.316897001673573764e-02,1.846516707195832163e+00,2.639086868987405410e+00
1.380000000000000000e+02,7.364900285486704334e-02,1.860418890858175800e+00,2.658015819243658484e+00
1.390000000000000000e+02,7.412833260167461802e-02,1.874326473593935560e+00,2.676940299314949812e+00
1.400000000000000000e+02,7.460696083189141681e-02,1.888239440538581615e+00,2.695860317442907217e+00
1.410000000000000000e+02,7.508488911613288297e-02,1.902157776860651683e+00,2.714775881869840646e+00
1.420000000000000000e+02,7.556211902087721366e-02,1.916081467761836965e+00,2.733687000838202152e+00
1.430000000000000000e+02,7.603865210849301837e-02,1.930010498476462111e+00,2.752593682591211177e+00
1.440000000000000000e+02,7.651448993725236403e-02,1.943944854271951073e+00,2.771495935372158215e+00
1.450000000000000000e+02,7.698963406132700027e-02,1.957884520448549992e+00,2.790393767424390603e+00
1.460000000000000000e+02,7.746408603082449718e-02,1.971829482338915307e+00,2.809287186991923591e+00
1.470000000000000000e+02,7.793784739176733145e-02,1.985779725308751020e+00,2.828176202318402943e+00
1.480000000000000000e+02,7.841091968613825292e-02,1.999735234755965374e+00,2.847060821647872331e+00
1.490000000000000000e+02,7.888330445186197970e-02,2.013695996111329656e+00,2.865941053223949098e+00
1.500000000000000000e+02,7.935500322282751373e-02,2.027661994837878012e+00,2.884816905290378486e+00
1.510000000000000000e+02,7.982601752891520241e-02,2.041633216430986497e+00,2.903688386090763629e+00
1.520000000000000000e+02,8.029634889596957981e-02,2.055609646418540049e+00,2.922555503868267124e+00
1.530000000000000000e+02,8.076599884584609312e-02,2.069591270360563673e+00,2.941418266865781561e+00
1.540000000000000000e+02,8.123496889641695917e-02,2.083578073849262857e+00,2.960276683325844260e+00
1.550000000000000000e+02,8.170326056155526040e-02,2.097570042508932975e+00,2.979130761490637269e+00
1.560000000000000000e+02,8.217087535117879871e-02,2.111567161996104502e+00,2.997980509601461563e+00
1.570000000000000000e+02,8.263781477123888219e-02,2.125569417999074950e+00,3.016825935899376532e+00
1.580000000000000000e+02,8.310408032375178611e-02,2.139576796238015888e+00,3.035667048624858921e+00
1.590000000000000000e+02,8.356967350677357853e-02,2.153589282465267818e+00,3.054503856017134922e+00
1.600000000000000000e+02,8.403459581445492377e-02,2.167606862464790840e+00,3.073336366314975976e+00
1.610000000000000000e+02,8.449884873702445676e-02,2.181629522052117576e+00,3.092164587756428773e+00
1.620000000000000000e+02,8.496243376080371557e-02,2.195657247074647156e+00,3.110988528578275236e+00
1.630000000000000000e+02,8.542535236821906242e-02,2.209690023411239324e+00,3.129808197016643589e+00
1.640000000000000000e+02,8.588760603781768477e-02,2.223727836972290817e+00,3.148623601306340447e+00
1.650000000000000000e+02,8.634919624427625506e-02,2.237770673699698065e+00,3.167434749681149242e+00
1.660000000000000000e+02,8.681012445840312342e-02,2.251818519566643140e+00,3.186241650373773382e+00
1.670000000000000000e+02,8.727039214715362481e-02,2.265871360577813132e+00,3.205044311615438346e+00
1.680000000000000000e+02,8.773000077365049332e-02,2.279929182768896556e+00,3.223842741636303799e+00
1.690000000000000000e+02,8.818895179717635424e-02,2.293991972207010122e+00,3.242636948664937790e+00
1.700000000000000000e+02,8.864724667320370011e-02,2.308059714990143174e+00,3.261426940928771501e+00
1.710000000000000000e+02,8.910488685339011672e-02,2.322132397247567148e+00,3.280212726653388700e+00
1.720000000000000000e+02,8.956187378559417323e-02,2.336210005139322199e+00,3.298994314063108391e+00
1.730000000000000000e+02,9.001820891388918888e-02,2.350292524856520959e+00,3.317771711380544275e+00
1.740000000000000000e+02,9.047389367856115139e-02,2.364379942621100295e+00,3.336544926826519486e+00
1.750000000000000000e+02,9.092892951614525709e-02,2.378472244685681414e+00,3.355313968620350806e+00
1.760000000000000000e+02,9.138331785940370655e-02,2.392569417333722193e+00,3.374078844979351288e+00
1.770000000000000000e+02,9.183706013735962181e-02,2.406671446879200094e+00,3.392839564119185525e+00
1.780000000000000000e+02,9.229015777529972486e-02,2.420778319666820888e+00,3.411596134253372270e+00
1.790000000000000000e+02,9.274261219478303897e-02,2.434890022071709570e+00,3.430348563593668132e+00
1.800000000000000000e+02,9.319442481364817454e-02,2.449006540499414353e+00,3.449096860349797566e+00
1.810000000000000000e+02,9.364559704604098755e-02,2.463127861385889794e+00,3.467841032729339190e+00
1.820000000000000000e+02,9.409613030239538656e-02,2.477253971197518556e+00,3.486581088937597883e+00
1.830000000000000000e+02,9.454602598947538239e-02,2.491384856430744588e+00,3.505317037177974271e+00
1.840000000000000000e+02,9.499528551036082180e-02,2.505520503612359562e+00,3.524048885651424712e+00
1.850000000000000000e+02,9.544391026446792659e-02,2.519660899299086321e+00,3.542776642556702882e+00
1.860000000000000000e+02,9.589190164756278278e-02,2.533806030077855986e+00,3.561500316090146612e+00
1.870000000000000000e+02,9.633926105176522647e-02,2.547955882565466901e+00,3.580219914445777363e+00
1.880000000000000000e+02,9.678598986555710104e-02,2.562110443408752047e+00,3.598935445814930745e+00
1.890000000000000000e+02,9.723208947379947953e-02,2.576269699284319703e+00,3.617646918386611787e+00
1.900000000000000000e+02,9.767756125773922882e-02,2.590433636898537451e+00,3.636354340347253356e+00
1.910000000000000000e+02,9.812240659502037554e-02,2.604602242987465566e+00,3.655057719880645095e+00
1.920000000000000000e+02,9.856662685968722859e-02,2.618775504316906311e+00,3.673757065167862379e+00
1.930000000000000000e+02,9.901022342221094119e-02,2.632953407682152580e+00,3.692452384387237885e+00
1.940000000000000000e+02,9.945319764947273267e-02,2.647135939908232594e+00,3.711143685714176854e+00
1.950000000000000000e+02,9.989555090480660426e-02,2.661323087849152280e+00,3.729830977321796581e+00
1.960000000000000000e+02,1.003372845479807984e-01,2.675514838388775019e+00,3.748514267379704279e+00
1.970000000000000000e+02,1.007783999352239168e-01,2.689711178440116424e+00,3.767193564054792887e+00
1.980000000000000000e+02,1.012188984192309849e-01,2.703912094945348787e+00,3.785868875511084752e+00
1.990000000000000000e+02,1.016587813491640624e-01,2.718117574875939635e+00,3.804540209909475834e+00
2.000000000000000000e+02,1.020980500706836214e-01,2.732327605232412804e+00,3.823207575407806758e+00
2.010000000000000000e+02,1.025367059259369162e-01,2.746542173044338675e+00,3.841870980160777549e+00
2.020000000000000000e+02,1.029747502535784121e-01,2.760761265370356377e+00,3.860530432319862371e+00
2.030000000000000000e+02,1.034121843887721159e-01,2.774984869298070755e+00,3.879185940033153202e+00
2.040000000000000000e+02,1.038490096632169873e-01,2.789212971943599406e+00,3.897837511446013536e+00
2.050000000000000000e+02,1.042852274051355582e-01,2.803445560452343610e+00,3.916485154699756777e+00
2.060000000000000000e+02,1.047208389393000094e-01,2.817682621997949610e+00,3.935128877932982050e+00
2.070000000000000000e+02,1.051558455870313935e-01,2.831924143783137726e+00,3.953768689280266813e+00
2.080000000000000000e+02,1.055902486662227413e-01,2.846170113038909211e+00,3.972404596873232663e+00
2.090000000000000000e+02,1.060240494913285703e-01,2.860420517024971687e+00,3.991036608839650057e+00
2.100000000000000000e+02,1.064572493733911968e-01,2.874675343029478025e+00,4.009664733303793582e+00
2.110000000000000000e+02,1.068898496200451492e-01,2.888934578368771877e+00,4.028288978386626695e+00
