frame, lambda, x, y
2.500000000000000000e+01,1.382148519300108007e-02,3.116386773275928168e-01,5.194083634051764875e-01
2.600000000000000000e+01,1.436304415575690059e-02,3.242096241014365554e-01,5.401059326629109592e-01
2.700000000000000000e+01,1.490375154974919042e-02,3.367885021540290569e-01,5.607975042221795547e-01
2.800000000000000000e+01,1.544360930702720104e-02,3.493752921421341973e-01,5.814830850013237296e-01
2.900000000000000000e+01,1.598261935481483723e-02,3.619699747587629690e-01,6.021626819351411086e-01
3.000000000000000000e+01,1.652078361551663141e-02,3.745725307333191423e-01,6.228363019745586371e-01
3.100000000000000000e+01,1.705810400673137689e-02,3.871829408314355625e-01,6.435039520866752127e-01
3.200000000000000000e+01,1.759458244126013357e-02,3.998011858550552522e-01,6.641656392545058907e-01
3.300000000000000000e+01,1.813022082711943442e-02,4.124272466423593575e-01,6.848213704768113530e-01
3.400000000000000000e+01,1.866502106754844639e-02,4.250611040678254349e-01,7.054711527680268546e-01
3.500000000000000000e+01,1.919898506102477032e-02,4.377027390420559216e-01,7.261149931581201145e-01
3.600000000000000000e+01,1.973211470126893380e-02,4.503521325119597685e-01,7.467528986923923640e-01
3.700000000000000000e+01,2.026441187725924048e-02,4.630092654605247882e-01,7.673848764313788706e-01
3.800000000000000000e+01,2.079587847324108896e-02,4.756741189069806919e-01,7.880109334506499863e-01
3.900000000000000000e+01,2.132651636873679132e-02,4.883466739066524842e-01,8.086310768407827254e-01
4.000000000000000000e+01,2.185632743855735888e-02,5.010269115509815574e-01,8.292453137071191804e-01
4.100000000000000000e+01,2.238531355281244209e-02,5.137148129675028763e-01,8.498536511696528351e-01
4.200000000000000000e+01,2.291347657692058282e-02,5.264103593198422582e-01,8.704560963629006665e-01
4.300000000000000000e+01,2.344081837161950815e-02,5.391135318076683003e-01,8.910526564357610368e-01
4.400000000000000000e+01,2.396734079297847125e-02,5.518243116666575743e-01,9.116433385513573739e-01
4.500000000000000000e+01,2.449304569240725107e-02,5.645426801684946261e-01,9.322281498869529059e-01
4.600000000000000000e+01,2.501793491666562744e-02,5.772686186208509929e-01,9.528070976337374987e-01
4.700000000000000000e+01,2.554201030787685983e-02,5.900021083673165911e-01,9.733801889967708121e-01
4.800000000000000000e+01,2.606527370353625001e-02,6.027431307874248079e-01,9.939474311948117702e-01
4.900000000000000000e+01,2.658772693652191113e-02,6.154916672966049829e-01,1.014508831460133820e+00
