u_y, load_factor
0.26129006003216126, 0.0874802488850932
1.3392869672110432, 1.5903892407994178
2.5124260122534086, 3.0072493257257094
3.976604576364897, 4.603363934113368
5.832577902887662, 6.730085403399862
7.9784681273838185, 8.94858114726263
10.118745246401298, 10.729675646699913
12.641836159064185, 12.341535015955252
15.164927071727066, 13.95339438521059
17.879424881212657, 15.480636189374952
20.59055482741104, 16.74543724688402
23.20429739355447, 17.921326713610938
26.011692098712068, 19.18755911301707
28.529169905896282, 20.362017237846924
32.01490840815134, 21.98819002607287
35.1110973901866, 23.25871645117019
38.4031837534275, 24.79454630671692
41.30796583864006, 26.149690296905213
44.30901268281183, 27.50626562899057
47.31005952698359, 28.862840961075918
50.60326851132023, 30.486151065507745
53.604315355492, 31.8427263975931
56.79789171758221, 33.20216441347257
60.08548759644017, 34.388073273478916
64.62677058395944, 35.76755007591725
67.80799811399658, 36.16470535406066
71.08436778189717, 36.47581172521603
73.67678054722165, 35.989576463126106
75.96580496142393, 34.36180393983874
77.18918130050041, 32.19340516237311
77.83384646472585, 29.928938084640016
77.60651569283964, 27.21418768540789
77.09600374955447, 24.932544504910062
76.20043277043241, 22.64517595682399
75.21533275892556, 20.88125756015144
73.84068322719887, 18.761692800350257
71.98695514286757, 16.80993182883396
70.0380849206728, 14.9442197643057
67.40862565918907, 12.543606813187427
64.59112736416988, 10.490052173815425
62.549360246303074, 8.885349514045394
60.411328369477054, 7.2792155123783004
58.17590911259608, 5.584169919929053
56.22928413259279, 3.8934183531709863
54.5736986716586, 2.3819213098742935
53.11064272864284, 0.8732869503717282
51.35654726655796, -0.8146019325922111
50.084898220364906, -2.4078538571857635
48.81100393198039, -4.176066279549495
47.635619644746555, -5.767886862245973
46.552009632089, -7.708197098585778
45.46390913504852, -9.99842833046597
45.05639767729695, -11.753758675756153
45.80967643253468, -13.054511673856112
47.54131947270487, -13.116227768594115
49.95804203654693, -12.293121981201708
52.0848477024156, -11.561790468385581
54.40530550729844, -10.740116022890241
56.82315069223623, -9.82952998661274
59.52754491186021, -9.089610422414253
62.4267138915941, -8.171867676651445
64.84006859214895, -7.611202635914331
67.25230067160808, -7.138017844062318
70.72793558400154, -6.299167295802235
74.5931200166148, -5.104670384413531
77.49004375415721, -4.361888136420916
80.48884535613752, -3.1802733021057534
82.43547033614084, -1.4895217353476937
83.79889365691017, -0.2447594643974753
84.97427794414399, 1.3470611182990027
86.15976582123943, 3.726203940961355
87.15496942260792, 6.2774445775997805
88.06064399159158, 9.35213536565172
88.7704211793696, 12.161522723254254
89.19589457465291, 15.316537050705989
89.61800010664902, 18.209110631502433
90.23488039875501, 21.27950739386319
90.67382524718714, 25.48428470793609
91.00864698898991, 29.075268937916245
91.34683659407986, 32.928693914551694
91.30670288990736, 37.30127501690948
91.45460821927037, 41.326797807521
