frame, lambda, x, y
9.620000000000000000e+02,6.572834692344725616e-01,1.532312907126892298e+01,4.316522212266851000e+01
9.710000000000000000e+02,6.624212609955796305e-01,1.562915469785805556e+01,4.363015203912038942e+01
9.800000000000000000e+02,6.675566854025200003e-01,1.593904470007272778e+01,4.409460820252259339e+01
9.890000000000000000e+02,6.726888833701248904e-01,1.625283800883507723e+01,4.455856989610960284e+01
9.970000000000000000e+02,6.772473952124248298e-01,1.653507528435132912e+01,4.497054956191469444e+01
1.006000000000000000e+03,6.823709791884039477e-01,1.685635490680065374e+01,4.543352584659520232e+01
1.015000000000000000e+03,6.874885728753062919e-01,1.718166205606826935e+01,4.589595601351972221e+01
1.024000000000000000e+03,6.925991175270874711e-01,1.751104429628560410e+01,4.635782513612339528e+01
1.032000000000000000e+03,6.971350070599381388e-01,1.780729008662763135e+01,4.676789364129130888e+01
1.041000000000000000e+03,7.022291522268182540e-01,1.814450893256379516e+01,4.722866790741397836e+01
1.050000000000000000e+03,7.073128743906882399e-01,1.848595570668425125e+01,4.768884702790828101e+01
1.059000000000000000e+03,7.123848904722510644e-01,1.883168928901890382e+01,4.814842245626292083e+01
1.067000000000000000e+03,7.168824353894828194e-01,1.914265712361645200e+01,4.855642161105177479e+01
1.076000000000000000e+03,7.219286156178077452e-01,1.949666098885288790e+01,4.901483964622006795e+01
1.085000000000000000e+03,7.269590223042982080e-01,1.985514191662853278e+01,4.947263931612691579e+01
1.094000000000000000e+03,7.319721144119506473e-01,2.021817356943597588e+01,4.992981917903178157e+01
1.102000000000000000e+03,7.364123573371554876e-01,2.054475180531171219e+01,5.033568132691902974e+01
1.111000000000000000e+03,7.413882781852916271e-01,2.091659638079148920e+01,5.079169351787849962e+01
1.120000000000000000e+03,7.463420096862448672e-01,2.129323086402216347e+01,5.124709302132593791e+01
1.129000000000000000e+03,7.512717067573687624e-01,2.167474829035457162e+01,5.170188643055095667e+01
1.137000000000000000e+03,7.556319222490333054e-01,2.201805399995443224e+01,5.210564551708176850e+01
1.146000000000000000e+03,7.605108732040734010e-01,2.240906984775075728e+01,5.255932010318683467e+01
1.155000000000000000e+03,7.653599505260582081e-01,2.280527220236935193e+01,5.301242060809202883e+01
1.164000000000000000e+03,7.701769409198344629e-01,2.320677971868818190e+01,5.346496290502534521e+01
1.172000000000000000e+03,7.744298988889237734e-01,2.356823110735073357e+01,5.386676901172883447e+01
1.181000000000000000e+03,7.791798544718995245e-01,2.398011157453125719e+01,5.431830966467327926e+01
1.190000000000000000e+03,7.838906982791746803e-01,2.439768650102146097e+01,5.476935325307684366e+01
1.199000000000000000e+03,7.885597573859182141e-01,2.482110892614516473e+01,5.521992666475711076e+01
1.207000000000000000e+03,7.926726847655998220e-01,2.520252553570414022e+01,5.562006589513632093e+01
1.216000000000000000e+03,7.972550298998197782e-01,2.563744933488931110e+01,5.606983601115239679e+01
1.225000000000000000e+03,8.017870600863969965e-01,2.607872615114987269e+01,5.651923225170735776e+01
1.234000000000000000e+03,8.062655086370121849e-01,2.652655614195677458e+01,5.696829503635883185e+01
1.242000000000000000e+03,8.101985860662515027e-01,2.693030216021455203e+01,5.736721785407873853e+01
1.251000000000000000e+03,8.145662567648653818e-01,2.739111021982322569e+01,5.781577551941414583e+01
1.260000000000000000e+03,8.188698325310791448e-01,2.785913838315596536e+01,5.826414012646919360e+01
1.269000000000000000e+03,8.231052488542058843e-01,2.833465318383981923e+01,5.871236943901732985e+01
1.278000000000000000e+03,8.272681901350874556e-01,2.881794254858280624e+01,5.916052653818150020e+01
1.286000000000000000e+03,8.309040347606437837e-01,2.925431118405205666e+01,5.955888329594742459e+01
1.295000000000000000e+03,8.349173106054779137e-01,2.975315699589727103e+01,6.000709687668667414e+01
1.304000000000000000e+03,8.388440010688652526e-01,3.026075121565558845e+01,6.045545469006286510e+01
1.313000000000000000e+03,8.426785549708903922e-01,3.077748934372186795e+01,6.090404533377326857e+01
1.321000000000000000e+03,8.460048931450295795e-01,3.124483632222001717e+01,6.130306607846114275e+01
1.330000000000000000e+03,8.496487973541773098e-01,3.178005560554477427e+01,6.175236788242786190e+01
1.339000000000000000e+03,8.531820832492098550e-01,3.232577888081782191e+01,6.220220765711971467e+01
1.348000000000000000e+03,8.565973345313449006e-01,3.288256848721820091e+01,6.265271127813439733e+01
1.356000000000000000e+03,8.595275290694291970e-01,3.338728258278609218e+01,6.305382780334758053e+01
1.365000000000000000e+03,8.626972749395711570e-01,3.396671976014984295e+01,6.350597429118825232e+01
1.374000000000000000e+03,8.657236691632149705e-01,3.455920178708583990e+01,6.395922450513529611e+01
1.383000000000000000e+03,8.685962714786816807e-01,3.516556718917877333e+01,6.441376325726699292e+01
1.391000000000000000e+03,8.710112975657188228e-01,3.571697001380908887e+01,6.481904519672194454e+01
1.400000000000000000e+03,8.735609445715540877e-01,3.635221437500106134e+01,6.527659856313670161e+01
1.409000000000000000e+03,8.759198814714952430e-01,3.700438956656324763e+01,6.573610412912900358e+01
1.418000000000000000e+03,8.780722856767545492e-01,3.767483361632384486e+01,6.619784967343920812e+01
1.426000000000000000e+03,8.797977420759337530e-01,3.828735339672105908e+01,6.661043391281489789e+01
1.435000000000000000e+03,8.815092236419715954e-01,3.899667042987080379e+01,6.707734038593753212e+01
1.444000000000000000e+03,8.829552554491479910e-01,3.972935933880567916e+01,6.754756807578367273e+01
1.453000000000000000e+03,8.841091046950730892e-01,4.048778313009982810e+01,6.802161053066286911e+01
1.461000000000000000e+03,8.848642445611722973e-01,4.118579290125614989e+01,6.844665058760915599e+01
1.470000000000000000e+03,8.853759593380395865e-01,4.200090908882570773e+01,6.892956884031954701e+01
1.479000000000000000e+03,8.854875036828729895e-01,4.285149691684398476e+01,6.941830200192219991e+01
1.488000000000000000e+03,8.851451752200873990e-01,4.374247566133347220e+01,6.991384528909925677e+01
1.496000000000000000e+03,8.844060615974621564e-01,4.457332893463299683e+01,7.036104118857176104e+01
1.505000000000000000e+03,8.830086784134340006e-01,4.555889505608979562e+01,7.087310569609215349e+01
1.514000000000000000e+03,8.809062920077521675e-01,4.660819690929908177e+01,7.139661535890854793e+01
1.523000000000000000e+03,8.779506481883567748e-01,4.773515309776870197e+01,7.193428539149681455e+01
1.531000000000000000e+03,8.744387649448173150e-01,4.881794494742595703e+01,7.242716189254929304e+01
1.540000000000000000e+03,8.692110347839073770e-01,5.015386755426671073e+01,7.300352675186390172e+01
1.549000000000000000e+03,8.621511320664472233e-01,5.165984983449210688e+01,7.361154161635897708e+01
1.558000000000000000e+03,8.523554759906076805e-01,5.342090233770190366e+01,7.426671121837954104e+01
1.566000000000000000e+03,8.397816582087828108e-01,5.534642914849472106e+01,7.491415673084816262e+01
1.575000000000000000e+03,8.161268163131599751e-01,5.837791068024635877e+01,7.578598737024361753e+01
1.584000000000000000e+03,7.747255695535962827e-01,6.266897764177362262e+01,7.670011051792343437e+01
1.593000000000000000e+03,7.419053304055633902e-01,6.553454189869523816e+01,7.708616306932503903e+01
1.601000000000000000e+03,7.198234774913854217e-01,6.728010155675437431e+01,7.722445929624757355e+01
1.610000000000000000e+03,6.988999003247738928e-01,6.882511068337201721e+01,7.727988367095673539e+01
1.619000000000000000e+03,6.805178130736778686e-01,7.010627087780024169e+01,7.727397769332614530e+01
1.628000000000000000e+03,6.638760269993683183e-01,7.121077430737329905e+01,7.722780954877194404e+01
1.636000000000000000e+03,6.501803885093712099e-01,7.208316615961815899e+01,7.716220500961259177e+01
1.645000000000000000e+03,6.357497102760065744e-01,7.296868143679027696e+01,7.706712571618687946e+01
1.654000000000000000e+03,6.221686601498848113e-01,7.377188917085763364e+01,7.695399848345530813e+01
1.663000000000000000e+03,6.092997174640926161e-01,7.450697531108347960e+01,7.682610037924087010e+01
1.671000000000000000e+03,5.983756001033786465e-01,7.511166024287324205e+01,7.670195854296298421e+01
1.680000000000000000e+03,5.865933941742283997e-01,7.574438586364654213e+01,7.655220276459399997e+01
1.689000000000000000e+03,5.752881676049299564e-01,7.633281121912999367e+01,7.639313684261679782e+01
1.698000000000000000e+03,5.644092000873408566e-01,7.688197134589593418e+01,7.622590869180919526e+01
1.706000000000000000e+03,5.550630541859362665e-01,7.734047435526601078e+01,7.607116613716158326e+01
1.715000000000000000e+03,5.448813387188351509e-01,7.782604951417157224e+01,7.589092986494212312e+01
1.724000000000000000e+03,5.350232412097644108e-01,7.828237015480813454e+01,7.570481021866341109e+01
1.733000000000000000e+03,5.254631795089812485e-01,7.871188156549895609e+01,7.551336411048967534e+01
1.741000000000000000e+03,5.171975897115040910e-01,7.907286292602283595e+01,7.533910581362314929e+01
1.750000000000000000e+03,5.081423591465697998e-01,7.945721968667317014e+01,7.513884993310614391e+01
1.759000000000000000e+03,4.993284267737901350e-01,7.982008854398014819e+01,7.493448300355981928e+01
1.768000000000000000e+03,4.907404439501888427e-01,8.016287857841342657e+01,7.472632844772648752e+01
