lambda, x, y
6.262626262626262985e-01,1.015033060316005820e+00,-4.717419467674561773e-01
6.363636363636364646e-01,1.010201826266457603e+00,-4.681815618936448486e-01
6.464646464646465196e-01,1.004012456479926874e+00,-4.647636637066021037e-01
6.565656565656565746e-01,9.965299020865829860e-01,-4.614497843422030177e-01
6.666666666666667407e-01,9.878148790139363866e-01,-4.581912750212580598e-01
6.767676767676767957e-01,9.779247627659197750e-01,-4.549305807493788101e-01
6.868686868686869618e-01,9.669145881349929805e-01,-4.516023863039150821e-01
6.969696969696970168e-01,9.548381173306881298e-01,-4.481346687832141740e-01
7.070707070707071829e-01,9.417489466159809641e-01,-4.444496901560781033e-01
7.171717171717172379e-01,9.277016261114228168e-01,-4.404649607963637137e-01
7.272727272727272929e-01,9.127527699584330190e-01,-4.360942021873054353e-01
7.373737373737374590e-01,8.969621352787201518e-01,-4.312483337360420999e-01
7.474747474747475140e-01,8.803936489757897554e-01,-4.258365049944919378e-01
7.575757575757576801e-01,8.631163604659803923e-01,-4.197671907794826573e-01
7.676767676767677351e-01,8.452052965117146099e-01,-4.129493622776848616e-01
7.777777777777777901e-01,8.267421928534487430e-01,-4.052937419681240105e-01
7.878787878787879562e-01,8.078160761168196036e-01,-3.967141442883892477e-01
7.979797979797980112e-01,7.885236686395488137e-01,-3.871288973989225890e-01
8.080808080808081773e-01,7.689695889344816404e-01,-3.764623341985925964e-01
8.181818181818182323e-01,7.492663218423822880e-01,-3.646463331019093035e-01
8.282828282828283983e-01,7.295339352981173864e-01,-3.516218812865649634e-01
8.383838383838384534e-01,7.098995252393756061e-01,-3.373406255289372879e-01
8.484848484848485084e-01,6.904963766437528516e-01,-3.217663688160816715e-01
8.585858585858586745e-01,6.714628369773559813e-01,-3.048764651687272398e-01
8.686868686868687295e-01,6.529409083198978170e-01,-2.866630610757436304e-01
8.787878787878788955e-01,6.350745757689876259e-01,-2.671341301586881434e-01
8.888888888888889506e-01,6.180079019190409806e-01,-2.463142486227666572e-01
8.989898989898991166e-01,6.018829295892873521e-01,-2.242450630499106534e-01
9.090909090909091717e-01,5.868374467398782546e-01,-2.009854093075591763e-01
9.191919191919192267e-01,5.730026777862718967e-01,-1.766110517048970763e-01
9.292929292929293927e-01,5.605009734184234205e-01,-1.512140246787146147e-01
9.393939393939394478e-01,5.494435757588376212e-01,-1.249015746117559111e-01
9.494949494949496138e-01,5.399285366400021768e-01,-9.779471600690541055e-02
9.595959595959596689e-01,5.320388635990228599e-01,-7.002643310452702496e-02
9.696969696969697239e-01,5.258409608550669301e-01,-4.173957398897794324e-02
9.797979797979798899e-01,5.213834213805264017e-01,-1.308449815178510181e-02
9.898989898989899450e-01,5.186962118625750850e-01,1.578345063017218622e-02
1.000000000000000000e+00,5.177902758110056736e-01,4.470656713849741060e-02
