alpha2, delta, Delta
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.111111111111111160e+00,9.326320093153740443e-01,3.286034014835479411e-01
3.333333333333333481e+00,7.187056597995430396e-01,6.289739205793276611e-01
5.555555555555555358e+00,5.850578685335388052e-01,7.321066595207116334e-01
1.000000000000000000e+01,4.450044022462606441e-01,8.106090248803146103e-01
