,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1111111111111111,0.6981317007977317,0.0,0.6954561821755587,-0.06267183463426551,0.6881653646458343,-0.12094402127016975,0.6774605254866071,-0.17401466727217557,0.6641778459635064,-0.22260041073845088,0.648851240862878,-0.26744044525604926,0.6318549659764435,-0.3090710096306211,0.6134744853394516,-0.34787101672102305,0.593940781957973,-0.38411288955427386,0.5734574579596048,-0.41797744616101296
0.2222222222222222,1.3962634015954634,0.0,1.386617778476523,-0.16557124193879585,1.3618564308943641,-0.3130809797203429,1.3284894181181652,-0.4397360933620494,1.2905757441417727,-0.5491633158231157,1.2503005319989033,-0.6450177287451487,1.2089172307768496,-0.7300022620658003,1.167204989908369,-0.8060593838546521,1.1256882635328245,-0.8745959066270232,1.0848041742385424,-0.9365608462460099
0.3333333333333333,2.0943951023931953,0.0,2.072920831837706,-0.2990609869701859,2.0199565637267156,-0.5571846020643382,1.9526456574523003,-0.7692581636349689,1.8806420355744995,-0.9448175926676025,1.8083244684127324,-1.0929844107136937,1.7376924157088396,-1.2202975380534138,1.669695375958843,-1.3312906486996943,1.6048281700519755,-1.4291112262146348,1.5435597983288925,-1.5157718379700156
0.4444444444444444,2.7925268031909276,0.0,2.755031814687501,-0.45374883669996247,2.665276642281781,-0.8355854100213684,2.5560646055357035,-1.1385485295373394,2.4442830333547834,-1.3812042875719026,2.336439714105328,-1.5803834386824192,2.2348119538056728,-1.7477015159233797,2.140073954470123,-1.8909112357675337,2.0523761954454214,-2.0151836565303527,1.9721028893873536,-2.1236432904600755
0.5555555555555556,3.4906585039886595,0.0,3.434457342558027,-0.6204761430856574,3.3030684973549462,-1.1319568419903692,3.14855435262331,-1.5265694676127612,2.9956922535755117,-1.8345341813993852,2.8526402184816773,-2.0819850477840567,2.7214003114005134,-2.2863397042155316,2.6019833539796915,-2.458842501664081,2.4939840990911115,-2.606734398799012,2.3976939300377644,-2.734124940749666
0.6666666666666666,4.1887902047863905,0.0,4.113170385913414,-0.7902386999715896,3.9397924728115594,-1.4307672379531196,3.741502010008411,-1.9138309242272726,3.5506479989407325,-2.2830604429059584,3.3763290521189804,-2.574751071549922,3.2197606490125104,-2.8123861135720993,3.080008088385282,-3.0107014888331607,2.955995260635833,-3.178884260539639,2.847967884046537,-3.321752149869477
0.7777777777777777,4.886921905584122,0.0,4.79326177676168,-0.95407413246111,4.582072856753495,-1.716599621270491,4.346237143925495,-2.2807818105197564,4.124495313942637,-2.7044521114423086,3.9260478351583714,-3.0342736304286193,3.7508684172889564,-3.299721939907972,3.596852207274674,-3.5188607506665615,3.4621389488561,-3.7026181867745627,3.346863398849318,-3.8561776349191073
0.8888888888888888,5.585053606381853,0.0,5.476592429075946,-1.1029394590261723,5.235662615801029,-1.9734459567812803,4.972352601683281,-2.6061888256717745,4.729910207472016,-3.073167964322315,4.516694692046688,-3.431208539425764,4.330965870353165,-3.7156127925479816,4.1691359592936195,-3.947706115982024,4.028205362956927,-4.140215346047044,3.9075191304483083,-4.298913289774561
1.0,6.283185307179586,0.0,6.164438947984511,-1.227606579296113,5.90429712252293,-2.1841077810013525,5.625591388522454,-2.8657402208781817,5.373678090879438,-3.358135013463976,5.155056623393728,-3.728060845352298,4.965746627123085,-4.01688866137001,4.800152193542078,-4.250033824457183,4.653079016943325,-4.444028996278694,4.519425755640147,-4.611507836848884
